,name,style,brewery_id,id,abv,ibu,ounces
0,Pub Beer,American Pale Lager,408,1436,0.05,,12.0
1,Devil's Cup,American Pale Ale (APA),177,2265,0.066,,12.0
2,Rise of the Phoenix,American IPA,177,2264,0.071,,12.0
3,Sinister,American Double / Imperial IPA,177,2263,0.09,,12.0
4,Sex and Candy,American IPA,177,2262,0.075,,12.0
5,Black Exodus,Oatmeal Stout,177,2261,0.077,,12.0
6,Lake Street Express,American Pale Ale (APA),177,2260,0.045,,12.0
7,Foreman,American Porter,177,2259,0.065,,12.0
8,Jade,American Pale Ale (APA),177,2258,0.055,,12.0
9,Cone Crusher,American Double / Imperial IPA,177,2131,0.086,,12.0
10,Sophomoric Saison,Saison / Farmhouse Ale,177,2099,0.07200000000000001,,12.0
11,Regional Ring Of Fire,Saison / Farmhouse Ale,177,2098,0.073,,12.0
12,Garce Selé,Saison / Farmhouse Ale,177,2097,0.069,,12.0
13,Troll Destroyer,Belgian IPA,177,1980,0.085,,12.0
14,Bitter Bitch,American Pale Ale (APA),177,1979,0.061,60.0,12.0
15,Ginja Ninja,Cider,154,2318,0.06,,12.0
16,Cherried Away,Cider,154,2170,0.06,,12.0
17,Rhubarbarian,Cider,154,2169,0.06,,12.0
18,BrightCider,Cider,154,1502,0.06,,12.0
19,He Said Baltic-Style Porter,Baltic Porter,368,1593,0.08199999999999999,,12.0
20,He Said Belgian-Style Tripel,Tripel,368,1592,0.08199999999999999,,12.0
21,Lower De Boom,American Barleywine,368,1036,0.099,92.0,8.4
22,Fireside Chat,Winter Warmer,368,1024,0.079,45.0,12.0
23,Marooned On Hog Island,American Stout,368,976,0.079,,12.0
24,Bitter American,American Pale Ale (APA),368,876,0.044,42.0,12.0
25,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,802,0.049,17.0,12.0
26,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,801,0.049,17.0,12.0
27,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,368,800,0.049,17.0,12.0
28,21st Amendment IPA (2006),American IPA,368,799,0.07,70.0,12.0
29,Brew Free! or Die IPA (2008),American IPA,368,797,0.07,70.0,12.0
30,Brew Free! or Die IPA (2009),American IPA,368,796,0.07,70.0,12.0
31,Special Edition: Allies Win The War!,English Strong Ale,368,531,0.085,52.0,12.0
32,Hop Crisis,American Double / Imperial IPA,368,432,0.097,94.0,12.0
